    iterations,fitness,time,samples,keep,m,trial
3000,0.0440387729082,1647.88409787,100,50,0.1,1
0,0.0214799709749,4.628032754,100,50,0.3,1
10,0.0205572496632,9.332904213,100,50,0.3,1
20,0.0197240370903,14.036002061,100,50,0.3,1
30,0.0211694007185,19.761201623,100,50,0.3,1
40,0.0201581773667,24.480787235,100,50,0.3,1
50,0.0217047824764,29.321263266,100,50,0.3,1
60,0.0206190958322,33.906933919,100,50,0.3,1
70,0.0197572304673,38.594661086,100,50,0.3,1
80,0.0207644953037,43.327012632,100,50,0.3,1
90,0.0206018494359,48.022845674,100,50,0.3,1
100,0.0206519812425,52.725089873,100,50,0.3,1
110,0.0199677229335,57.578709133,100,50,0.3,1
120,0.0198769323269,62.291950469,100,50,0.3,1
130,0.0215867615309,67.085853596,100,50,0.3,1
140,0.0213540653098,71.655795353,100,50,0.3,1
150,0.0207550536228,76.430558323,100,50,0.3,1
160,0.020649517613,81.219008342,100,50,0.3,1
170,0.0207882855087,86.102916733,100,50,0.3,1
180,0.0208410816653,90.818098625,100,50,0.3,1
190,0.0211762194111,95.547454349,100,50,0.3,1
200,0.0193330343554,100.242898254,100,50,0.3,1
210,0.0208898758339,104.901551652,100,50,0.3,1
220,0.019750336343,109.617746693,100,50,0.3,1
230,0.0200519783303,114.284976744,100,50,0.3,1
240,0.0204826026954,119.066651363,100,50,0.3,1
250,0.0188042069542,123.707241948,100,50,0.3,1
260,0.0214991930295,128.432203646,100,50,0.3,1
270,0.0207275209777,133.028122556,100,50,0.3,1
280,0.0199286232919,137.777120987,100,50,0.3,1
290,0.0217754436843,142.430153176,100,50,0.3,1
300,0.0189790427297,148.174160075,100,50,0.3,1
310,0.0200635650824,152.866794429,100,50,0.3,1
320,0.0204920636679,157.446195902,100,50,0.3,1
330,0.0213467990687,162.1653719,100,50,0.3,1
340,0.0199118995141,167.013493641,100,50,0.3,1
350,0.0210735371522,171.749088938,100,50,0.3,1
360,0.0195513836824,176.972391475,100,50,0.3,1
370,0.021621486573,181.80000519,100,50,0.3,1
380,0.0193845734988,187.210660745,100,50,0.3,1
390,0.0209769715251,191.917599236,100,50,0.3,1
400,0.0198908787343,196.572976431,100,50,0.3,1
410,0.020820026682,201.157240537,100,50,0.3,1
420,0.0210317584787,205.816429552,100,50,0.3,1
430,0.0210377455926,210.423059213,100,50,0.3,1
440,0.0225028915318,215.156364974,100,50,0.3,1
450,0.0213055036312,219.875929262,100,50,0.3,1
460,0.0200337529114,224.405646696,100,50,0.3,1
470,0.021782690528,229.267963296,100,50,0.3,1
480,0.0209653915402,234.053099019,100,50,0.3,1
490,0.020794159769,238.959312186,100,50,0.3,1
500,0.0206499689639,243.641024019,100,50,0.3,1
510,0.0193811521475,248.430640687,100,50,0.3,1
520,0.0198934111747,253.130761144,100,50,0.3,1
530,0.0211881928054,257.811093544,100,50,0.3,1
540,0.0201337690899,262.529094658,100,50,0.3,1
550,0.0203115230004,267.241516553,100,50,0.3,1
560,0.0208801765175,271.980454202,100,50,0.3,1
570,0.020211626562,276.666963535,100,50,0.3,1
580,0.0204153423038,281.323979623,100,50,0.3,1
590,0.020185170701,285.973335096,100,50,0.3,1
600,0.0204458741792,290.724250789,100,50,0.3,1
610,0.0191371568035,295.502389068,100,50,0.3,1
620,0.0213076472468,300.226538615,100,50,0.3,1
630,0.0205234348349,304.790896494,100,50,0.3,1
640,0.0201275919651,309.504785629,100,50,0.3,1
650,0.0204387318601,314.218372927,100,50,0.3,1
660,0.0201107144529,318.89070558,100,50,0.3,1
670,0.0197521007827,323.587068973,100,50,0.3,1
680,0.0199211517719,328.297854372,100,50,0.3,1
690,0.020744311964,333.046147488,100,50,0.3,1
700,0.0194598163148,337.671742005,100,50,0.3,1
710,0.0205062157779,342.401160304,100,50,0.3,1
720,0.020228191988,347.19505795,100,50,0.3,1
730,0.0195012608175,351.701791477,100,50,0.3,1
740,0.0203792726031,356.53893631,100,50,0.3,1
750,0.0207853414863,361.306878598,100,50,0.3,1
760,0.0208767808042,365.902276333,100,50,0.3,1
770,0.0224798851718,370.607519177,100,50,0.3,1
780,0.021195191268,376.229796019,100,50,0.3,1
790,0.0218795383952,380.997611209,100,50,0.3,1
800,0.0202039222072,385.752394761,100,50,0.3,1
810,0.0196951819796,390.594229911,100,50,0.3,1
820,0.0199799898391,395.254587361,100,50,0.3,1
830,0.0203780713844,399.794316929,100,50,0.3,1
840,0.0213439998253,404.455468638,100,50,0.3,1
850,0.0199375487176,409.278968471,100,50,0.3,1
860,0.0216312034429,413.998508696,100,50,0.3,1
870,0.0207312027137,418.746433128,100,50,0.3,1
880,0.0205554438057,423.42626474,100,50,0.3,1
890,0.0207672276994,428.116716362,100,50,0.3,1
900,0.0210023762667,432.859387268,100,50,0.3,1
910,0.0210421170257,437.590112555,100,50,0.3,1
920,0.01991361939,442.951887439,100,50,0.3,1
930,0.0208467466891,447.743014831,100,50,0.3,1
940,0.0205197435035,452.322739969,100,50,0.3,1
950,0.0222549786214,457.087783918,100,50,0.3,1
960,0.0203317181812,461.810309987,100,50,0.3,1
970,0.0200959359154,466.591062231,100,50,0.3,1
980,0.0201395281094,471.13261931,100,50,0.3,1
990,0.0211387717739,475.937142522,100,50,0.3,1
1000,0.0196955634363,480.786666941,100,50,0.3,1
1010,0.0205434214748,485.407860951,100,50,0.3,1
1020,0.0211067693052,490.23889479,100,50,0.3,1
1030,0.0216154717098,494.938697766,100,50,0.3,1
1040,0.0213609058255,499.683155961,100,50,0.3,1
1050,0.0200365303119,504.33468919,100,50,0.3,1
1060,0.0188775855841,509.027051783,100,50,0.3,1
1070,0.0192996397728,513.691519001,100,50,0.3,1
1080,0.0205133598921,518.394426643,100,50,0.3,1
1090,0.021104441397,522.99536499,100,50,0.3,1
1100,0.0216090724602,527.752742245,100,50,0.3,1
1110,0.0215196964402,532.393918253,100,50,0.3,1
1120,0.0205015455125,537.576101632,100,50,0.3,1
1130,0.0208696320216,542.282048849,100,50,0.3,1
1140,0.0205776401447,546.964069879,100,50,0.3,1
1150,0.0201701538151,551.644064928,100,50,0.3,1
1160,0.0193774090698,556.360573425,100,50,0.3,1
1170,0.02008545688,561.044125242,100,50,0.3,1
1180,0.0206626183235,565.703926952,100,50,0.3,1
1190,0.0208225235734,570.385459011,100,50,0.3,1
1200,0.0204597148648,575.135813901,100,50,0.3,1
1210,0.0210272818476,579.679015312,100,50,0.3,1
1220,0.0209032345463,584.389442887,100,50,0.3,1
1230,0.0216067052662,589.142500257,100,50,0.3,1
1240,0.0200707407554,593.858077912,100,50,0.3,1
1250,0.0212855107677,598.578426544,100,50,0.3,1
1260,0.0207468867098,603.151266413,100,50,0.3,1
1270,0.0203022141042,607.796961745,100,50,0.3,1
1280,0.0210875934543,612.551527254,100,50,0.3,1
1290,0.022028020032,617.341680417,100,50,0.3,1
1300,0.021277047423,621.861748469,100,50,0.3,1
1310,0.0199059080888,626.517512678,100,50,0.3,1
1320,0.0212712125083,631.332652096,100,50,0.3,1
1330,0.0198383389318,636.029209777,100,50,0.3,1
1340,0.0217473956996,640.665886581,100,50,0.3,1
1350,0.020127653883,645.423819372,100,50,0.3,1
1360,0.0203846638578,650.035607939,100,50,0.3,1
1370,0.0192136299002,654.84100097,100,50,0.3,1
1380,0.0206798448493,660.003949569,100,50,0.3,1
1390,0.0220279867896,664.580204696,100,50,0.3,1
1400,0.0211269028634,669.26494973,100,50,0.3,1
1410,0.0206459519653,673.981347715,100,50,0.3,1
1420,0.0192628208995,678.63914183,100,50,0.3,1
1430,0.0214517903237,683.245277916,100,50,0.3,1
1440,0.0205375487731,688.132472762,100,50,0.3,1
1450,0.0211774554182,692.839775172,100,50,0.3,1
1460,0.02104560768,697.62091883,100,50,0.3,1
1470,0.0210235646615,702.207439808,100,50,0.3,1
