iterations,fitness,time,samples,keep,m,trial
3740,53.0,123.85096973,100,50,0.1,1
3750,53.0,124.125069033,100,50,0.1,1
3760,58.0,124.347061806,100,50,0.1,1
3770,53.0,124.516997415,100,50,0.1,1
3780,53.0,124.705687914,100,50,0.1,1
3790,58.0,124.911707444,100,50,0.1,1
3800,53.0,125.115996287,100,50,0.1,1
3810,53.0,125.304990051,100,50,0.1,1
3820,53.0,125.480114494,100,50,0.1,1
3830,53.0,125.641843068,100,50,0.1,1
3840,53.0,125.845373035,100,50,0.1,1
3850,54.0,126.001006915,100,50,0.1,1
3860,58.0,126.175374572,100,50,0.1,1
3870,53.0,126.364020423,100,50,0.1,1
3880,56.0,126.536414315,100,50,0.1,1
3890,53.0,126.68447484,100,50,0.1,1
3900,53.0,126.902130238,100,50,0.1,1
3910,53.0,127.119512744,100,50,0.1,1
3920,53.0,127.330782441,100,50,0.1,1
3930,53.0,127.526775754,100,50,0.1,1
3940,56.0,127.788426134,100,50,0.1,1
3950,54.0,127.987781079,100,50,0.1,1
3960,53.0,128.192961615,100,50,0.1,1
3970,56.0,128.442835776,100,50,0.1,1
3980,56.0,128.712691801,100,50,0.1,1
3990,53.0,128.934411599,100,50,0.1,1
4000,53.0,129.195518719,100,50,0.1,1
4010,53.0,129.482515961,100,50,0.1,1
4020,53.0,129.987195998,100,50,0.1,1
4030,54.0,130.315119537,100,50,0.1,1
4040,53.0,130.608612861,100,50,0.1,1
4050,53.0,131.069069594,100,50,0.1,1
4060,54.0,131.59318113,100,50,0.1,1
4070,53.0,131.985677024,100,50,0.1,1
4080,53.0,132.547459032,100,50,0.1,1
4090,54.0,132.968847515,100,50,0.1,1
4100,53.0,133.352201101,100,50,0.1,1
4110,54.0,133.680745637,100,50,0.1,1
4120,56.0,134.199505247,100,50,0.1,1
4130,55.0,134.704840974,100,50,0.1,1
4140,56.0,135.009095168,100,50,0.1,1
4150,53.0,135.332783159,100,50,0.1,1
4160,53.0,135.608743088,100,50,0.1,1
4170,53.0,135.866484873,100,50,0.1,1
4180,56.0,136.127862406,100,50,0.1,1
4190,53.0,136.398065191,100,50,0.1,1
4200,54.0,136.664692856,100,50,0.1,1
4210,53.0,136.922652619,100,50,0.1,1
4220,53.0,137.247163806,100,50,0.1,1
4230,53.0,137.542931997,100,50,0.1,1
4240,57.0,137.877773015,100,50,0.1,1
4250,53.0,138.15634515,100,50,0.1,1
4260,57.0,138.433781325,100,50,0.1,1
4270,55.0,138.693041353,100,50,0.1,1
4280,55.0,138.966203625,100,50,0.1,1
4290,55.0,139.284134629,100,50,0.1,1
4300,53.0,139.612998194,100,50,0.1,1
4310,53.0,139.890044823,100,50,0.1,1
4320,53.0,140.120896073,100,50,0.1,1
4330,54.0,140.42153671,100,50,0.1,1
4340,55.0,140.676991959,100,50,0.1,1
4350,54.0,140.934471027,100,50,0.1,1
4360,54.0,141.205888787,100,50,0.1,1
4370,53.0,141.470640318,100,50,0.1,1
4380,53.0,141.804876756,100,50,0.1,1
4390,53.0,142.105140968,100,50,0.1,1
4400,54.0,142.290232112,100,50,0.1,1
4410,54.0,142.480670732,100,50,0.1,1
4420,53.0,142.707792985,100,50,0.1,1
4430,54.0,143.028497385,100,50,0.1,1
4440,53.0,143.252128,100,50,0.1,1
4450,53.0,143.587242789,100,50,0.1,1
4460,55.0,143.783300813,100,50,0.1,1
4470,54.0,144.200167494,100,50,0.1,1
4480,54.0,144.505811051,100,50,0.1,1
4490,53.0,144.742265672,100,50,0.1,1
4500,53.0,145.076631645,100,50,0.1,1
4510,53.0,145.369168512,100,50,0.1,1
4520,53.0,145.539344889,100,50,0.1,1
4530,54.0,145.730436397,100,50,0.1,1
4540,54.0,145.93073533,100,50,0.1,1
4550,54.0,146.156594765,100,50,0.1,1
4560,53.0,146.32324425,100,50,0.1,1
4570,53.0,146.495697731,100,50,0.1,1
4580,53.0,146.691129552,100,50,0.1,1
4590,54.0,147.004744924,100,50,0.1,1
4600,54.0,147.298929762,100,50,0.1,1
4610,53.0,147.507338473,100,50,0.1,1
4620,53.0,147.832786243,100,50,0.1,1
4630,53.0,148.109620307,100,50,0.1,1
4640,54.0,148.360850211,100,50,0.1,1
4650,54.0,148.523515926,100,50,0.1,1
4660,54.0,148.677542932,100,50,0.1,1
4670,54.0,148.858270811,100,50,0.1,1
4680,54.0,149.09123231,100,50,0.1,1
4690,53.0,149.267844404,100,50,0.1,1
4700,53.0,149.455046841,100,50,0.1,1
4710,53.0,149.619430153,100,50,0.1,1
4720,55.0,149.807096606,100,50,0.1,1
4730,53.0,150.004903662,100,50,0.1,1
4740,53.0,150.19683638,100,50,0.1,1
4750,54.0,150.388170791,100,50,0.1,1
4760,54.0,150.591102904,100,50,0.1,1
4770,54.0,150.753206305,100,50,0.1,1
4780,53.0,150.941008709,100,50,0.1,1
4790,54.0,151.276023298,100,50,0.1,1
4800,55.0,151.465560096,100,50,0.1,1
4810,54.0,151.653249769,100,50,0.1,1
4820,54.0,151.823790897,100,50,0.1,1
4830,54.0,152.024136712,100,50,0.1,1
4840,54.0,152.194365855,100,50,0.1,1
4850,53.0,152.358722912,100,50,0.1,1
4860,53.0,152.521729266,100,50,0.1,1
4870,53.0,152.805288726,100,50,0.1,1
4880,53.0,152.973158256,100,50,0.1,1
4890,54.0,153.167339464,100,50,0.1,1
4900,54.0,153.342025374,100,50,0.1,1
4910,53.0,153.517329667,100,50,0.1,1
4920,54.0,153.734539225,100,50,0.1,1
4930,54.0,153.906298107,100,50,0.1,1
4940,54.0,154.098087087,100,50,0.1,1
4950,53.0,154.278409974,100,50,0.1,1
4960,53.0,154.438344121,100,50,0.1,1
4970,53.0,154.615367815,100,50,0.1,1
4980,54.0,154.80610362,100,50,0.1,1
4990,56.0,154.973576452,100,50,0.1,1
5000,54.0,155.151027662,100,50,0.1,1
0,22.0,0.175268312,100,50,0.3,1
10,27.0,0.39449542,100,50,0.3,1
20,31.0,0.593050964,100,50,0.3,1
30,36.0,0.827669173,100,50,0.3,1
40,37.0,1.01974041,100,50,0.3,1
50,39.0,1.216081395,100,50,0.3,1
60,35.0,1.425041317,100,50,0.3,1
70,36.0,1.640391039,100,50,0.3,1
80,35.0,1.868539391,100,50,0.3,1
90,35.0,2.050364695,100,50,0.3,1
100,36.0,2.236272039,100,50,0.3,1
110,36.0,2.406750893,100,50,0.3,1
120,35.0,2.5944934,100,50,0.3,1
130,36.0,2.782705046,100,50,0.3,1
140,36.0,2.964541045,100,50,0.3,1
150,36.0,3.14276276,100,50,0.3,1
160,36.0,3.321825789,100,50,0.3,1
170,43.0,3.551132646,100,50,0.3,1
180,43.0,3.812217131,100,50,0.3,1
190,43.0,4.015993784,100,50,0.3,1
200,45.0,4.184566534,100,50,0.3,1
210,56.0,4.362254492,100,50,0.3,1
220,45.0,4.573477845,100,50,0.3,1
230,50.0,4.743897076,100,50,0.3,1
240,46.0,4.943806351,100,50,0.3,1
250,44.0,5.113747192,100,50,0.3,1
260,46.0,5.301447615,100,50,0.3,1
270,49.0,5.469163222,100,50,0.3,1
280,45.0,5.643250728,100,50,0.3,1
290,46.0,5.840778052,100,50,0.3,1
300,46.0,6.053631227,100,50,0.3,1
310,46.0,6.238125504,100,50,0.3,1
